0x0000 , 0x50f2
0x0002 , 0x5e02
0x0004 , 0x0001
0x0006 , 0xfe02
0x0008 , 0x0080
0x000a , 0x0204
0x000c , 0x01fe
0x000e , 0x0001
0x0010 , 0xfe02
0x0012 , 0x0060
0x0014 , 0x0002
0x0016 , 0x0010
0x0018 , 0x0802
0x001a , 0x01fe
0x001c , 0x0c02
0x001e , 0x01fe
0x0020 , 0x8006
0x0022 , 0x0000
0x0024 , 0x9200
0x0026 , 0x4924
0x0028 , 0x8c06
0x002a , 0x4925
0x002c , 0xb692
0x002e , 0xdb6c
0x0030 , 0x9806
0x0032 , 0x9248
0x0034 , 0xdb25
0x0036 , 0x6db6
0x0038 , 0xa406
0x003a , 0xdb6d
0x003c , 0xffb7
0x003e , 0xfffe
0x0040 , 0xc403
0x0042 , 0xf4a1
0x0044 , 0x0202
0x0046 , 0x0003
0x0048 , 0x0402
0x004a , 0x0005
0x004c , 0x0602
0x004e , 0x0009
0x0050 , 0x0802
0x0052 , 0x0011
0x0054 , 0xfe02
0x0056 , 0x0020
0x0058 , 0x7003
0x005a , 0x5045
0x005c , 0xfe02
0x005e , 0x0022
0x0060 , 0x7003
0x0062 , 0x5045
0x0064 , 0xfe02
0x0066 , 0x0024
0x0068 , 0x7003
0x006a , 0x5045
0x006c , 0xfe02
0x006e , 0x0026
0x0070 , 0x7003
0x0072 , 0x5045
0x0074 , 0xfe02
0x0076 , 0x0028
0x0078 , 0x7003
0x007a , 0x5045
0x007c , 0xfe02
0x007e , 0x002a
0x0080 , 0x7003
0x0082 , 0x5045
0x0084 , 0xfe02
0x0086 , 0x002c
0x0088 , 0x7003
0x008a , 0x5045
0x008c , 0xfe02
0x008e , 0x002e
0x0090 , 0x7003
0x0092 , 0x5045
0x0094 , 0xfe02
0x0096 , 0x0020
0x0098 , 0x5c02
0x009a , 0x1eec
0x009c , 0x5402
0x009e , 0x0201
0x00a0 , 0xfe02
0x00a2 , 0x0022
0x00a4 , 0x5c02
0x00a6 , 0x1eec
0x00a8 , 0x5402
0x00aa , 0x0201
0x00ac , 0xfe02
0x00ae , 0x0024
0x00b0 , 0x5c02
0x00b2 , 0x1eec
0x00b4 , 0x5402
0x00b6 , 0x0201
0x00b8 , 0xfe02
0x00ba , 0x0026
0x00bc , 0x5c02
0x00be , 0x1eec
0x00c0 , 0x5402
0x00c2 , 0x0201
0x00c4 , 0xfe02
0x00c6 , 0x0028
0x00c8 , 0x5c02
0x00ca , 0x1eec
0x00cc , 0x5402
0x00ce , 0x0201
0x00d0 , 0xfe02
0x00d2 , 0x002a
0x00d4 , 0x5c02
0x00d6 , 0x1eec
0x00d8 , 0x5402
0x00da , 0x0201
0x00dc , 0xfe02
0x00de , 0x002c
0x00e0 , 0x5c02
0x00e2 , 0x1eec
0x00e4 , 0x5402
0x00e6 , 0x0201
0x00e8 , 0xfe02
0x00ea , 0x002e
0x00ec , 0x5c02
0x00ee , 0x1eec
0x00f0 , 0x5402
0x00f2 , 0x0200
